timeindex;demand-AT-profile;demand-BE-profile;demand-CH-profile;demand-CZ-profile;demand-DE-profile;demand-DK-profile;demand-FR-profile;demand-LU-profile;demand-NL-profile;demand-NO-profile;demand-PL-profile;demand-SE-profile
2050-01-01T00:00:00Z;0.00010126401515206249;0.00011533272135843704;0.00013178498506989;0.00010646601929906229;9.531282471854583e-05;0.00010646951315015567;0.00014352979620337286;7.456592355297474e-05;9.639582384491453e-05;0.00013138443924926444;9.495107750228922e-05;0.0001264501461498047
2050-01-01T01:00:00Z;9.596582583234518e-05;0.00010945265085963275;0.00013351090614486822;0.00010629132863493792;9.124322349000396e-05;0.00010190199127187041;0.00013838922418342594;7.09651546087667e-05;9.128009639077128e-05;0.0001295898804684185;9.000556518432166e-05;0.0001234481700072218
2050-01-01T02:00:00Z;9.098873889564103e-05;0.00010321375716109825;0.00013226110122850466;0.00010422680260437736;8.76665947366884e-05;9.779700325467733e-05;0.00013154629572673085;6.856464197929468e-05;8.623654851270058e-05;0.000128420575199451;8.662578689170785e-05;0.00012069095930552096
2050-01-01T03:00:00Z;8.941241810630367e-05;9.939402632526082e-05;0.00012609142933978936;0.00010281339632191666;8.555650753101262e-05;9.502180008812426e-05;0.0001269941150459306;6.676425750719066e-05;8.304260227148946e-05;0.00012625248834657377;8.470828002365348e-05;0.00011897760121934656
2050-01-01T04:00:00Z;8.963135154926718e-05;9.775038457165805e-05;0.00012402825931912573;9.947839273408803e-05;8.234702982619197e-05;9.44725411280773e-05;0.0001254718356738323;6.571403323179666e-05;8.228471672272749e-05;0.00012643113220711048;8.396334929793453e-05;0.00011832969269936464
2050-01-01T05:00:00Z;8.852208877158533e-05;9.700958828834412e-05;0.00011904887782694713;9.798558160429808e-05;7.642929747713643e-05;9.695866063144776e-05;0.00012427411380197501;6.226329632693061e-05;8.350274706895207e-05;0.00012779532168757254;8.383919417698136e-05;0.00011861045305802347
2050-01-01T06:00:00Z;9.272561087648501e-05;9.500712333501116e-05;0.00011373224738908314;9.708036634474459e-05;7.647261305027346e-05;9.976277216431908e-05;0.00012483737810884494;6.406368079903463e-05;8.56410670101019e-05;0.00012878598309600333;8.345983130740226e-05;0.00012035980606197466
2050-01-01T07:00:00Z;9.834490257921549e-05;9.543539618630202e-05;0.00011008202350637055;9.514288806991083e-05;7.77493911346462e-05;0.00010115037374759562;0.00012468033415711542;6.481384099574465e-05;8.879892346327675e-05;0.00012988220678566037;8.315634101173898e-05;0.00012233232755614183
2050-01-01T08:00:00Z;0.00010508805262249205;9.919725231250556e-05;0.00011410917268131977;0.00010179701427610222;8.255948239919746e-05;0.00010311614265723738;0.00012852058225674173;6.541396915311265e-05;9.271466546521357e-05;0.00013184728925156407;8.628780906244647e-05;0.00012369293544810386
2050-01-01T09:00:00Z;0.00011099925558250724;0.00010452172559882442;0.0001178387492571348;0.0001070377341998329;8.819256955335246e-05;0.000109273624683027;0.00013283615005026946;6.841460993995268e-05;9.962585987416194e-05;0.0001356231708492716;8.972276740881724e-05;0.00012499595147162307
